UNM_BANNER_ID,HED_HIGH_SCHOOL_CODE,INSTITUTION_NAME,STREET_LINE1,STREET_LINE2,STREET_LINE3,CITY,STATE_PROVINCE
101683191,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101622981,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101614129,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101589754,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101587060,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101574514,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101571849,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101559681,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101536676,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101500123,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101481210,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101481108,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101489202,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101375362,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101348413,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101348308,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101338695,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101282100,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101276960,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101230138,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100855246,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100855239,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100887041,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
